"tokens_lem","class"
"many female history teacher bitch love bring past","non-suicide"
"trump sound produce blow","non-suicide"
"stick try enjoy go see movie watch trailer see june may mind keep say go live long win live see far depression hit hardcore idea spell whirlwind win stop want fuck stop scare don know mind drag place brain want kill","suicide"
"feel like writer dumb edgy bullshit trap prison flesh bone lock box yet do nothing wrong sit cell internal hell slowly rot away","non-suicide"
"mind ask award filer filer filer filer filer filer filer filer filer filer filer filer filer","non-suicide"
"quit keep take feel awful take purpose every day wish dead nothing really matter","suicide"
"hot take hot trash one far good dude","non-suicide"
"bore hit question filler filler filler filler filler filler filler","non-suicide"
"lie lie lie lie lie lie lie","suicide"
"want hate really good life work hard small business start self make use work minimum wage now house car good shape good look past month everything fall apart friend family sure much fault anymore fix depress want anything everyone hate throw away work hard deserve get know just shell person now know way easy now everything hard want want thing honestly want anything anymore even just survive","suicide"
"nineteen guess vent need say woman definitely go get lynch tell die right entirely life never learn love parent begin elementary school push really high grade keep healthy way never ever love think waste trash garbage abortion somehow make womb never friend first year school small fat effeminate easy victim bully abuse suffer classmate decide good fuck go let push around forever become pretty violent hurt people bad now awful explosion anger take people dog home sometimes physically much try restrain can help hate essentially abuser come trans abuse thoroughly parent two long year get feed try live alone another city get job live parent financial help god make feel like loser hate hate look sound masculine act can talk people without become timid mess can keep people life always end explode meaningless shit hurt other never look good wish trans fuck suck especially country responsible literally half trans murder world brazil need look just yesterday hear girl brutally murder happen maybe deserve productive person thing ever get high grade maybe average come people age even go drain since anxiety take away concentration college heavily go lot shit alone hair forcibly cut tell mentally sick father wish beat pulp front mom cousin shit thing good home accept dude keep fuck stress sure put everything feel comprehensible way without make post even long short long last depression anxiety gender form anger issue borderline maybe self diagnose thing keep together love overall fuck unbearable help extremely sensitive anything remotely negative put awful mood long functional society fragility combine zero social skill openly hate minority country angry unproductive person just make feel like dead make regret go hospital last time try take twice lethal dose keep inside instead throw maybe parasite people keep incessant whine just loser also lot issue feel guilty cause problem feel never get job worth anyone time peace","suicide"
"talk crush speak year crush past year guy let call think much want contact really badly like grab phone say contact without sound awkward advice","non-suicide"
"first make laugh win free wholesome award first make laugh win free wholesome award","non-suicide"
"think love work good like like late first person care now go want someone else care anymore go die alone see reason keep go life may good skip year agony want alone one want tire","suicide"
"one enjoy argue class chat like like girl boy gender advance powerful like fuck girl hate woman passion homo","non-suicide"
"miss know pretend friend everyone hate hate just want get fuck","non-suicide"
"day fuck day since collect enough pill just fuck kill can just fuck day lock know gonna eat anything water enough day enough just want die peace know go completely fundamental suicide die peace sleep die dream horrible like just close eye never wake feel thing die arm hear voice someone actually give fuck swear think easy down everything cry till want fuck rip apart someone please force fee pill please","suicide"
"thing can explain part people can busy person world still make time people still accomplish everything other can one unimportant thing choose make time other do","non-suicide"
"give away life good happen happen little time feel happy take away feel weak helpless wonder end completely like forever just shit do","suicide"
"consider stupid tomorrow just want talk anything detail regard past issue now brief self hatred issue strong totally understand think really distort wrong full cognitive error matter just want hate get good keep get close think call help one last time maybe something miss consider one fault people try help really nothing can help mind disgust evil want hate hurt reality matter frankly whats push edge fact future isolation self hatred now bad fact give nothing work try lot every way try look life still end ashamed angry hunk wait wait long guess day finally whenever grow tire fail hurt day long ago fuck give never good fuck head make sense understand know nothing moron nothing proud attempt fail permanently destroy life relationship family logistic work school luckily hard fuck shotgun suicide stupid destroy family love can predict future permanently frustrate want care dumb decision ever even destroy family else can wait one can save save can try one can fix try just pathetic moron make problem none think answer solution theres good chance feel good tomorrow eventually rate need get angry enough courage drive get drink","suicide"
"launch album think hello fellow teenager produce album call land nowhere nostalgic like electronic song think album like anyway hope listen tell think open album open album watch amp list watch amp list apple music music apple album land nowhere music apple album land nowhere amp channel channel channel","non-suicide"
"year year since last mental hospital feel happy make stride progress can help feel scare feel like time go fast completely control feel unimportant everyone around matter many friend still feel completely alone don want die tho just want change know last year get much good addiction still can stop deep feel dread just want mean something someone suicidal just lose","non-suicide"
"know someone help please need help want talk someone rock bottom hurt please","suicide"
"permanently miserable every attempt break fail stick place can get ashamed want die easy solution leave university illness can return love study now leave without know sell guitar amp eat can gig audition jam properly anymore can hold even low pay bottom barrel job can afford private treatment government help long line wait list away mood never ever stable push friend away mania retreat depression therapist doctor deserve put bullshit family look like filthy layabout without job leech society leave without instrument bar one guitar old never sell family guilt sell possession get bully believe deserve whilst claim government support sell first use taxpayer money life destroy piece piece year ago study full time gigging weekly respect family despite illness enjoy life today tire know even get job tire relegate next line throne hold desperately work woman slave away return castle tire live poor even try want hold want cling hope get hard every week hard last eventually snap one deserve pretty tire sleep relieve physical pain mental pain never anything anymore lose hope","suicide"
"goddam sexy ask damn can get mind sexy just dare already please help know life just can stop think please cry help need friend","non-suicide"
"talk lot shit like win just start throw rock hoe value life bitch kill filler filler filler","non-suicide"
"need way kill want talk utter pro life just need way kill fuck hard","suicide"
"judge base profile thank idea vibes emit place","non-suicide"
"take self harm since young age way cope low quiet thought punish although now still partner know make angry care push point can cope depress can bring get bed shower take care anything matter much try communicate partner just call lazy resent tell suicidal want end life clear take seriously yesterday get angry something fairly small tell kill cry help long one listen scare die responsibility do yet get close every day one take seriously just want someone listen show life worth live instead look just see bad resent hate just want someone anyone reach nice clearly deserve","suicide"
"religion suck politic suck world suck thing can think entertain stupid head die world suck unfair stupid pointless human race just ruin everything include selfish stupid creature dumb wish brave enough just end","suicide"
"imagine run bedroom morning scream hustle hustle hustle wake ask confuse answer get hustle sleep hustle hustle hustle","non-suicide"
"don taker deserve die irredeemable piece human garbage love parent everything can financially emotionally see succeed continually let today dad birthday even bother get present card lie bed long give barely enough time get work believe also already wish everyone give leave die","suicide"
"every fuck time actually say something girl snap either open late go bed creeper tempt look like make sense immediate reply pointless just fuck annoy happen anyone else","non-suicide"
"really need someone talk feel comfortable also female guess look advice exactly look maybe therapist explain","non-suicide"
"last day winter break last day winter break tomorrow school fuck","non-suicide"
"lonely smile cry talk quiet pretend like happy","suicide"
"get kick zoom class sane sit write zoom class teacher say can everyone find something value room like bet find picture friend die week take kid bring baseball catch clay vase make just photo teacher gonna call say poem just read talk one day move give love reflect poem like destroy item think joke say right bat girl ask say reflect poem assignment kid start destroy shit except put photo stare camera please work assignment excuse fuck say can make shit stuff kick zoom parent hear drug bitch never gonna treat","non-suicide"
"post something nice get day play friend discord probably good thing happen today less hope good day far really like diary thing especially nice response far thank guess tomorrow teen","non-suicide"
"help help goth stalker trap come scare","non-suicide"
"lose life without value year old level exam month half need get straight get suffer severe mental health problem want see doctor thought section entire life away god listen use turn faith need find hope friend love theres nothing can kid far go mum severely mentally ill year blame blame tell eight try seven time last year always something stop message friend fate make throw fuck know much pill nothing nothing give hope happiness kind completely do nothing offer world world nothing offer","suicide"
"end line do fuck do make life tough people do live house feel like hell voice head get loud loud mood swing get bad bad do live real shit person soon problem go away one pop act impulsively release pain just keep everything","suicide"
"edge feel void like want reach desire goal just disregard nothing depress tool able complete project mind go away think dying right now keep hear wait patient make feel even go love bye","suicide"
"way full book read every book bible except really want read help","non-suicide"
"insult woman raise child mother leave reason now understand painful woman work house raise treat like son feel like mother recently problem home dad bad mood many day woman person extremely difficult deal make lunch yesterday give compliment start yell say extremely difficult deal take even compliment badly anyways discussion raise point tell fight father nobody want around even mother snap call old bitch tell fuck feel like shit know make never listen either say sorry feel never talk never apologize accept wrongdoing kind suck either make feel fault just anything","suicide"
"favour ask anyone go psychiatrist country norm everybody mentally one listen psychiatrist consult serious condition normal person go one people talk behind back hard time control imagination mostly give negative thought always like happen happen find trick handle simply replace mind stop give rise happen scenario can replace please help get headache everyday due thought sometimes tear fall eye reason please help brother","non-suicide"
"let listen music together premium anyone","non-suicide"
"bell dolphin something marine biologist amp preview redd width amp format amp auto amp","non-suicide"
"just chat people discord cause nothing else class mom start yell say get video game even game just phone like chill man","non-suicide"
"elitist attitude drink don abide conservative value just save marriage do drug drink anything mean good anyone else annoy man just let without judgement","non-suicide"
"people hate guess never bother describe kind loser currently always bully since young still idea lot people rude matter anymore like year old often get bully everyone teacher classmate everyone now study local institution feel insecure can tell people even know talk behind back slander thing even even attend class lecturer show animosity prejudice towards good course sometimes just motivate tell fuck whatever say get immune whatever shit people say however feel tire live world do nothing wrong start fuck shit year think good isolate away people think good end life permanently set date die","suicide"
"can someone help find copy paste whole bible whole bible whole fuck book please don ask","non-suicide"
"just want someone hold tell go much stress life right right feel like crumble way much pressure just need break course can get one lucky","suicide"
"thank share story think save may sound kind strange thank guy reach just read post leave lot comment try help bite now grateful share story feel like cry whole day cry like time school start read sub way home read lot sad story post people want kill also realize something urge cry lot little know alone feeling thank make day","suicide"
"want cause year old girl finland post first time story start unknown strange send friend request know go change life much use chat sometimes year change share number chat call day day fall blindly love even tho country get depress anxious able school miss class even anxious go school get bad year ago break tell feeling accept long distance relationship never meet even life away due age change meet already come meet study use text daily hour tell love much able live without also start force strange shit thing say can bear baby marry like tell cause culture hes decide break feel hurt sometime come beg tell need bear baby need marry shit continue use fight several thing become anxious depress now totally stop go school really can anything anymore always worry even money meet really poor never get job future yesterday block everywhere never enough just fake hate really know poor kid now just want die year old know condition kill stop otherwise already escape hell fuck sound stupid probably none can understand cause little trauma brother start act rude make hate first free kill","suicide"
"want tell someone know depress year week ago get bad enough attempt suicide since get lot bad think may help tell someone sure tell","suicide"
"across attention long way result really hate quote cut now count month can think time cut attention just release bad addiction avoid pretty good coworker say quote time half bring comfort know probably cut half annoyance say false statement often","suicide"
"discord tag whatever bore","non-suicide"
"birthday day year today actual birthday officially","non-suicide"
"side headphone stop work get week ago","non-suicide"
"ball just crack like finger feel good","non-suicide"
"literally reason nine year nine year think day every day just do yet theres reason completely alone ugly future fuck stupid learn skill poor can get family fuck hate can really just can live anymore hurt bad can just make stop","suicide"
"anyone chat talk anyone just preface can play number game unoriginal chat without","non-suicide"
"panic panic attack friend talk three year break move hour away mom huge dog live tiny room can breathe can think just want stop feel","suicide"
"look old buddy use two friend neither console mine brother move take don know either hope five year since last talk see someone can find can remember wait custom","non-suicide"
"reason parent seem mean get old par reason parent seem like get mean get old see loose thing parent feel like loose get old want baby use example ask something right away now argue want mean want baby next time get angry yell talk back thing take feel perspective get mad just gonna make bad trust","non-suicide"
"word essay due two day finish book today shit word last hour half wrong","non-suicide"
"happen just can happen can endure everyone tell hang happen can just give","non-suicide"
"little tip date girl can never reject never talk play right work feel pain rejection life try talk doubt sorry get advice still learn strange being know girl age though content loneliness","non-suicide"
"miss friend use group around friend miss two move away ghost one particularly close drift away another one make friend talk one girl group conversation just meaningless miss heart heart conversation miss much","non-suicide"
"ready bunch much emptiness one can fill","suicide"
"officially one year since sam academy hes go boy","non-suicide"
"year old neither teenager adult depress","non-suicide"
"hate despise alive since ten year old first time try kill slit throat unfortunately sister grab knife also eat handful pill throw late sixteen try hang beam break bad luck kill daily basis can handle yet another failure","suicide"
"give bad idea anymore just failure everyone around like can snap finger person can bare basic fuck mentally even hold job let alone take time every eight hour tire can keep can minimum society keep go gonna hurt people care sorry man do equal amount hurt life add can anymore just can","suicide"
"go kill actually terrify dying want break life just want help advice someone care 2 even terrible title apologize just need get chest girl provide context dump month ago bug anymore tho become really bulimic use problem high school time day point burn hole throat cut time matter fact love cut turn something truly enjoy disgust hate sober need drink sort drug remotely happy wee either talk coke sub guy really like since miss miss relationship guy fuck now use sex pretty sure pretty sure just use booze coke get gang rape guess break guy really know also happen one guy blurry memory barely can count pretty sure may possibly happen another guy party april honestly remember night can say remember say gonna tell people rape right apparently get back campus cry one know also even know guy sex money twice apparently whore now use money coke alcohol drink much use school 2 crazy gain lose repeatedly pound past month eat actually digest food put physical pain chest start hurt really bad lately friend super fuck can really talk anything just sound like attention whore good friend heroin even come back much good basically just extremely upset life go way use relatively happy successful girl life get sad one else realize sad literally joke thing hate talk feel like go explode just eat two bagel bowl cereal feel like stomach go rip open want get help bulimia want put family just idea anyone insight anything appreciate much thank","suicide"
"late change try hard every day still good enough anybody argue suicidal one friend take joke parent never emotionally fuck life much come back nobody leave fuck hate alive end already","suicide"
"just want stop feel stupid say guess say good keep bottle really expect response whatever think depress like happy life want live think want stop live just like go regardless just tire alive look clip suicide attempt show movie fantasize weird sometimes come plan never maybe one day now yes suicidal depress guess thank listen","suicide"
"go kill fuck care anymore family barely talk friend nothing can fuck anything anymore point live fuck world literally nobody go miss practically beg family talk sad barely see barely talk ridiculous sad friend think real friend barely see little see family feel like one can fuck talk anything sick everything want end do try","suicide"
"one achieve award specific skirt shit can post picture dog wear leprechaun hat get can post picture brand gun fuck can eat candle","non-suicide"
"mom think friend year ago friend school bathroom get catch leave school end year unrelated reason now start school fine friend mom think terrible person say trust judgement learn lesson tell win listen tell good person like rest friend","non-suicide"
"fuck love kiss kiss day can stop think kiss like kiss sex end can kiss forever can kiss oblivion can kiss body can kiss sleep wake can stop think kiss can get anything do busy think kiss kiss madness absolute paradise can find good kisser","non-suicide"
"fuck hurt friend feeling end last thing fuck deserve horrible fuck bitch feel fuck horrible now","suicide"
"can anyone help beyond want end tonight one tonight final night earth scream help one hear","suicide"
"white girl think word medium medium medium medium","non-suicide"
"need get chest ice belong drink say jump conclusion prepare list like ice dislike ice like drink cold dislike find drink ice enter throat ice big choke little bite unpleasant ice small just slip throat also unpleasant ice put time limit drink oops drink coke two minute good now ice melt dilute taste like pee admit affect water get little drink ever order drink fast food place yea half drink ice conclusion ice suck overrate change mind","non-suicide"
"make alt account porn make alt","non-suicide"
"hate life trash year name try kill year ago save guy see hang tree since now fight urge hate life just trash fail everyone around seem can anything right break hell try make life good drug although cross mind many time people say take pain away use cut stop friend really anyone talk tell parent anything cause seem people understand hard joke fake happiness around people cause can stand condescend talk truth think live see end year shit get bad sleep hour every night stay corner day pray ever god know even go far ask satan just take pain cause like god real make thing hard say make life hard cause just want say take life year try one thing make little happy see smile end swear shes good around shes person truly say love toxic just bad influence anyways just want get","suicide"
"guy confess crush respond yet hour edit reject","non-suicide"
"tell record company give future royalty family without concern point may kill day want make sure family get pay chance people listen music can say without freak","suicide"
"sure class take high school still undecided whether take honor class one hand like subject honor class available lot work bunch club want join thing want also know sad feel like miss take one class consider summer class since may help take honor also anyone know take human geo sure understand find location impact people right teach thing like phone make cobalt impact miner much read write","non-suicide"
"live campus class right home past week keep putting go back coz hate live campus wit reason still get class do amp work suppose back today sister amp partner invite hotel stay can hang wit amp amp friend gonna grand ole time gonna lot fun like yes mom get piss like gonna drop quit just tell now coz waste money mean drop mean gonna drop also talk move back home next semester anyway just day ago literally morning tell need make happy whatever support amp amp legit talk degree full miss just annoy rant","non-suicide"
"want die leave everything behind please deposit crypto eth cash go poor kid africa","suicide"
"date mix just want good relationship get much gonna date","non-suicide"
"cyanide poison painful want poison hopefully die within minute","suicide"
"ouch fuck leg mom mop floor know run room fall hit head scrape leg corner wall","non-suicide"
"hey guy kick bucket want make post help much afraid say really want help now good thank guy miss may back though maybe wait just depend aha","non-suicide"
"wait really know explain way feel give good shoot almost year since last attempt suicide jan since just feel like happen eventually die suicide point whether now year just live day day feel empty shit scare fact nothing college school work fuck test result school weird thing inside seem make sabotage everything whenever go good just sit think future likely live parent since can anything couple year kill probably think actually bonus mean little pressure family get job college keep maybe die year can stop think feel attempt early year happy feel think go sorry horrible format mobile right now","suicide"
"scare die gonna kill main idea post struggle predict state mind dad die idea prevent kill impulse anyone get advice resource anything may help prepare appreciate context live dad rest family different country super close friend except good friend know always super close dad rely mostly everything write friend read sorry grammar good tuesday dad get surgery shit go wrong worry like gonna put edge cancer shit happen always suicidal lose really put edge like prepare basically surgery go fine say cancer spread almost kill night still alive live year ago yes can see worry something go wrong surgery actually die reason stay alive get reason like worry may just impulse scare live manage build gonna fly window fast man","suicide"
"hate power recently make video expose tell entire fake everyone believe tell dislike video even though true thing hate fan just believe defend","non-suicide"
"eat today please get food glass water","non-suicide"
"can want alone","suicide"
"friend abandon mei know fault can control last post say anger issue control get bad fight discord server start call friend insult everything badmouthing behind back call hypocrite make good get hurt people much hurt mentally can control anymore anything can set ban server help lot see make fun attempt change try year half make two great friend fun write story together say method try like fat guy curl one rep per month expect change come someone stop friend five year apparently know try two friend can trust one go trust completely rant need get help slowly dark side crack however still confuse want feel remorse start argument know full good end lash continue push even know just confuse do nobody tell anything go old badmouthing still answer question amp still hold hope someone can help selfish think think someone help think hypocritical friend claim care yet start argument now hate hell amp scare suicide already start think way still hope life go","suicide"
"song think beautiful lyric definitely kathy song simon love song general vocal guitar lyric beautiful know love song ooze feel something bittersweet anyways comment song think beautiful lyric","non-suicide"
"sleep damn sleep nice","non-suicide"
"build bridge jump think","suicide"
"can keep just hate right now want type whole story want ill try girl love good friend shes one friend hate gut now afraid right now need just vent","suicide"
"small boy filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler","non-suicide"
"life mind grade man name steve steve like other steve person social outcast since elementary school point think friend life go smooth sail onto end day seem storm brew nearby ship mess course direction steve description grade year friend anyone talk anyone care steve always think past year life go maintain smooth sail good thing come end sail lack friend social skill abundance depression never seem happy life occur past month school month live hell steve lose many thing dear time let anger control result think do good everyday think think understand end yet kill people forget week anyways seem go year steve go commit less one thing life seem time distress forget dear friend do exactly do anger forget surrounding already say failure result steve become depress early month think end remind one string connect self one string metaphor friend seem lose touch however","suicide"
"never think strongly look method seriously think write note stick door lock room thing hold back think parent react bear let parent like let everyone else don want deal anymore make many wrong decision hurt other don think want live know fuck much one person want tell everything care can make time just don want anymore","suicide"
"ever just get deep gut feel completely damn maybe religious upbringing just know do awful thing dishonorable person wish true young innocent self deserve nothing misery","suicide"
"think make painful just survive day get difficult tire everything importantly feel alone world matter hard try know nothing change point matter time nothing importance worth lose finally free demon","suicide"
"love kitten much cute sleep adorable calm relax get cute little face cute cute little paw curl right chin just kiss hug wake","non-suicide"
"random fact bad thing do stash vodka room don smoke drug good girl steal cheat lie cheat lie teacher face time school bathroom grade arrest jail just like station hour get fine dollar swim ocean get ear pierce without ask parent mad tho continue masturbate shower mom take door smoke like","non-suicide"
"offer interview excuse put suicide sure bomb though still worthless sack shit year come though offer belonging still table","suicide"
"can take anymore literally want die many reason one mom literally can take anymore","suicide"
"psych office thought good dead day never one need worry","suicide"
"society start shun people people need shun","non-suicide"
"ever see letter","non-suicide"
"people hate rich envious","non-suicide"
"can live like depress since eight maybe even first recognize live shame childhood trauma whole life can talk parent die sexually assault twice can speak deep feel like ask open wound can anything can afford therapy go free college clinic tell severe case almost beyond help gay don feel like can date want shame retribution parent queer don know want transition part think don want part think don want shame eat disorder since hate body much recovery seem impossible point obsessive compulsive paranoid can sleep without light house terrify go die harbor much hurt trauma can repress deep painful deal time repress make bad point just want die many thing want life every experience taint trauma always background even get everything want life still spoil want career can cope daily life want kid terrify hurt even indirectly just can live like anymore","suicide"
"just want able pull trigger don know can nothing look forward every day repeat wife everyone use know leave alone enjoy nothing anxiety depression almost life now bad ever turn life want continue live long back forth tear anger resentment every day alone back work just want yet can just","suicide"
"need get chest good hello even know start post try lurk sub month now help lot forget situation can keep run really anyone talk go try vent little maybe manage therapeutic everything start year ago want bear detail life suit psychologist gist always hate friend tend treat like trash even teacher family member start become cynic get leave start live life solitude really bother typical just start normalize eventually become depress alone one trust everything start fall life break apart desperately try cling something keep find mean reason live sad thing tip iceberg just keep hold try strong meet weakness start get bad enter high school everyone find group mean something get leave eventually manage find friend still treat horrible hit verbally abuse kind drift apart year start pandemic happen go inside house stop see people stop talk regular basis just get leave alone first hard life keep go strong time time keep deal low blow month keep advance just feel like stick blurry mist everything just suck fast forward bite probably around month start show symptom disease call want enter much detail basically get micro infarct brain practically miracle lose speech ability walk ability just random anything happen range hallucination turn vegetable good get diagnose week ago life style change lose thing help hold life little hobby help escape moment reality just go now clear picture long keep go weird thing scare probably thing prevent end stubbornness admit defeat life put plenty card write essay today just feel like one help anymore rely complete stranger help grasp new reality good yes keep go maybe right community write just hope can find way find mean life good manage get get bore life thank read know mean much come complete strange can offer anything else sorry yes post hope can day find something guess go just say goodbye thank thank come ted talk","non-suicide"
"dude anything please just nothing please just something can post image yet","non-suicide"
"use religion justify bigotry stupid imagine like someone book write year ago say say love people just can support actually love just definition love truly love support matter identity religion sexuality fuck descriptor use book can barely hold today get moral","non-suicide"
"reasonable kill oneself hypothetically speak person closet homosexual live planet planet place one allow travel outside get ostracize execute exhibit form behavior belief may indicate homosexual person choice spend lifelong amount time pretend something high alert every time around people bottle one actual personality thought feeling fear find sprinkle loneliness depression suicidal identity can objective put person shoe opinion situation person dramatic really painful live like must person choose constant extreme daily suicide","suicide"
"hope long reach motivation good say lose real friend get reject person like human know probably fail reach education require study dream job wich fail anyway due vast lack motivation literally anything end just fat fuck cry somewhere room give fuck less actually care whine thing pussy tell anyone simultaneously search good way yes know statistic indeed access gun cyanide know try jump somewhere just puss fuck actually simultaneously show idiot around actually feel decrease self worth keep go fuck","suicide"
"nobody understand till people say nobody care till dead think primarily make sense till die suicidal past trauma suicide healthy mental health obviously love break deal mental pain always want suicide understand till die late even parent depression joke till see dead body drop beneath grind suicide like way make everything say finally make fuck sense people ever connect dot action small cry help force go fuck system world live","suicide"
"make chile anybody want","non-suicide"
"know give just give apathetic diagnose one really friend fuck childhood almost now know never sane like people real reason give want hurt friend sister two care die maybe get eventually though disgust hurt other rarely care fall love feel pain can remember time ever truly happy someone please help please","suicide"
"need encouragement hang friend now recently recently mean last year introduce friend one people introduce girl just call now think weird first vice soon start hang grow good friend can imagine become attract want ask scare say lose relationship ask guy encouragement now encourage","non-suicide"
"first post finally get enough karma post happy","non-suicide"
"post everyday turn day give compliment try argue compliment argue amp amp amp award bad","non-suicide"
"word sound close alone like just say sentence party word choice aisle isle like letter good please say","non-suicide"
"hurt many time grow numb meet someone think trust love just temporary layover see denmark want lesbian friend pretend friend believe denmark come friend cool try move friend use trauma girl rape hot pile fuck disgust meet rapist want feel something else besides betrayal besides lose besides rejection now just disgust go suppose treatment say team liar like everyone else never love never trust feel already dead","suicide"
"legit question guy meet white family frame picture last supper wall half filipino family one couple friend mexican never meet white person one","non-suicide"
"lay next scream want die scare hold onto lose job today wrestle past hour tire lay side still feel scare worry try focus need right now suicide prevention line already call check back talk family ready mom aware back call police get away seriously hurt get weapon try know scare minute time half asleep scare fuck edit still exhaust dinner trouble keep lay minute even able bathroom take trash try anything now just lay half asleep just next try get sleep soon need tomorrow thank anyone something say obvious need much corny say right now love guy just joy know people care want say thank now see tomorrow edit next morning asleep since ten night maybe get three four hour know focus need know focus time front absolutely terrify time yet come like monday work thursday night come home week past know day come home find something terrible bad nothing go know fight long can wreck edit call around morning various mental health emergency counsel service much can do weekend though couple option rely give consent treatment since yet succeed hurt other seem likely right now depress exhaust state pull bed morning eat anything shock take birth control pill though somewhere around asleep bathroom maybe sing know either way family come place take time live hour away anyone actually know outside work still talk family numb emergency want talk preferably consent kind treatment observation console right now just work fear hence still update thing scar monday scar come home work five day now apartment empty never see hear try tell know help just try reiterate love tell scare rend month month lease afford half fuck shit fuck fuck fuck fuck fuck god please help tell worry money right now focus need take care first try hold onto anyone still read thank sorry write like shit yes point edit mom make apartment feel bad desperately need another person gas travel cost suppose worry let alone right now anyway still bed aftermath happen last night depression shame maybe either way wall cocoon behind now just wait get help need get resource can together information can now wait ask help want hopefully right piece enable heal care edit mom leave talk couple hour half seem help final get get shower eat food right now just bed together hurt together still still try edit minor relapse violent previous night severely depress say feel empty hopeless sit next couch say feel right try keep much love sight read message way mostly helpful reach little thank anyone message say lightly right now love edit update right now hopefully thing can get momentum reach help treatment become something want get violent call police know can handle another bad episode like still still try edit hit low point smack try smother blanket may may try jump 2 story balcony get fast enough tackle floor break hit can describe rock bottom cry hour stop apologize also will talk call talk thing hour thing give calm bite couch watch actually laugh thing watch know mean late day now feel like can rest little easy now see go edit sunday thing interest way trouble scar morning ever think stir bad scare cry hour half call crisis management line help much else say talk sluggish obviously depress try shower together short little awkward normally obviously break do depression talk want alive floor two night just mess cry beg seek help happy deal mess top yell run upstairs bed leave cry tell call need leave apartment go fifteen minute walk call mom calm come realization mess see project come back home fairly quiet talk much go lunch use coupon free smoothie thing okay think try freeze yogurt hot ball work way crowd deal come back home cry thirty minute talk happen cuddle overall thing little good certainly road recovery among issue cause anxiety like get new job altogether fuck anyway believe last update story tell now place need work much try supportive can express happy anyone respond encouragement hopefully little can window happen shit really hit fan thing fall apart maybe help still still try work love guy","suicide"
"let fuck baby may dumb thing ever get excite drop car part maintenance remember previous owner buy year mile warranty can still use god bless","non-suicide"
"always feel sad recently lose interest everything like always irrationally sad can tell mom dad happen year ago get therapy anything make parent lose dollar week since thing good money want tell always feel guilty make lose money","non-suicide"
"happy now finally temporary happiness finally happy year struggle puberty insecurity weak jawline chin squeaky voice height fix eczema fade still lose weight happy post","non-suicide"
"blah blah blah can pick phone scare go sad much just want taco bell","non-suicide"
"stupid let dog pee run now dad mad especially mom apparent reason make even guilty previously","non-suicide"
"feel like people world just one people please just kill end life","suicide"
"get nothing reach help get call moron life strip everything solar amp job car house reach old friend colleague work family starve want feel pain anymore do","suicide"
"just find parent condom ugh actually disgust like make just think still sex pretty old just weirds","non-suicide"
"can wait christmas season anyone else find month december favorite time year feel like just positive mood entire month just genuine feel love music also fantastic never get tire christmas special usually get christmas mode day thanksgiving though year ton relative win able visit due bummer win let ruin christmas","non-suicide"
"die cute thigh like pinnacle humanity insanity","non-suicide"
"just want talk together little now hurt ask anything cause know physically hurt say feel like ass ask just want talk really see guy think","non-suicide"
"future sound pleasant one can imagine ever really enjoy life know people say happy really think people depress suicidal can recover live happy life one people nothing ever ever make happy depress whole life despite care parent trauma brain just can fuck integrate society think life worth live nothing want life don want job job appeal don want friend can form relationship selfish socially awkward care much other think nothing want truly even play new game watch new movie eat food travel nothing worth try therapy try nothing make brain think hey life worth live just mean live future dead lose void nothingness sound win worry people think anymore win worry plan future win worry single fuck thing nothing matter anymore one think make happy","suicide"
"wee think can make till morning start downhill begin january good friend block everything refuse talk start fail school friend start hate check hospital terrible idea stay week think get get think everything go fine teacher understand give lot extension miss work guy like age finally ask friend unblocked start speak just thing okay guy break week complain never happy friend ditch talk someone good fourteen thousand standardize test need take graduate friend block everything need talk loneliness kill feel like can never anyone solid life just want unconditionally love want people notice around want fuck mean something someone","suicide"
